"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00014739","BOSTON, MA US","2021-06-16","11.41",,"0.00","0.0","69","77","63","  290","  300","19.9","27.1",,,,,,,
"USW00014739","BOSTON, MA US","2021-06-17","8.28",,"0.00","0.0","71","80","60","  280","  250","16.1","21.9",,,,,,,
"USW00014739","BOSTON, MA US","2021-06-18","8.95",,"0.00","0.0","74","85","60","  220","  230","21.0","29.1",,,,,,,
"USW00014739","BOSTON, MA US","2021-06-19","12.75",,"0.00","0.0","78","91","69","  220","  210","21.9","28.0",,,,,,,
"USW00014739","BOSTON, MA US","2021-06-20","10.51",,"0.00","0.0","79","89","71","  190","  220","18.1","25.1",,,,,,,
"USW00014739","BOSTON, MA US","2021-06-21","13.42",,"0.00","0.0","78","87","69","  190","  210","23.9","31.1",,,,,,,
"USW00014739","BOSTON, MA US","2021-06-22","9.62",,"0.91","0.0","76","87","63","  330","  340","21.0","27.1","    1",,"    1",,,,
"USW00014739","BOSTON, MA US","2021-06-23","10.07",,"0.00","0.0","66","75","59","  110","  300","17.0","23.9",,,,,,,
"USW00014739","BOSTON, MA US","2021-06-24","9.84",,"0.00","0.0","66","74","59","  110","  110","23.9","29.1","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-06-25","7.83",,"0.09","0.0","64","70","61","  200","  210","13.0","15.0","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-06-26","13.65",,"0.00","0.0","74","86","66","  230","  230","23.9","29.1","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-06-27","16.33",,"0.00","0.0","81","89","74","  220","  230","28.0","33.1",,,,,,,
"USW00014739","BOSTON, MA US","2021-06-28","14.09",,"0.00","0.0","85","97","75","  230","  230","21.9","25.9",,,,,,,
"USW00014739","BOSTON, MA US","2021-06-29","10.51",,"0.00","0.0","89","99","79","  230","  230","23.0","29.1",,,"    1",,,,
"USW00014739","BOSTON, MA US","2021-06-30","9.84",,"0.16","0.0","88","100","72","  290","  280","40.0","49.0",,,"    1",,,,
"USW00014739","BOSTON, MA US","2021-07-01","8.95",,"1.28","0.0","78","85","68","  220","  250","17.0","21.9","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-07-02","14.09",,"1.67","0.0","65","69","59","   50","   40","21.9","28.0","    1",,,,,,"    1"
"USW00014739","BOSTON, MA US","2021-07-03","12.97",,"1.68","0.0","59","60","57","   50","   50","28.0","33.1","    1",,"    1",,,,
"USW00014739","BOSTON, MA US","2021-07-04","7.38",,"0.31","0.0","61","68","58","   80","   80","15.0","17.0","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-07-05","7.61",,"0.00","0.0","65","78","57","  210","  210","17.0","23.9","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-07-06","14.76",,"0.29","0.0","77","92","69","  270","  260","28.0","42.1",,,"    1",,,,
"USW00014739","BOSTON, MA US","2021-07-07","8.50",,"0.03","0.0","80","92","70","  200","  220","18.1","25.1",,,"    1",,,,
"USW00014739","BOSTON, MA US","2021-07-08","8.95",,"0.30","0.0","69","71","64","  260","  280","29.1","36.9","    1",,"    1",,,,
"USW00014739","BOSTON, MA US","2021-07-09","10.51",,"2.04","0.0","67","78","63","   50","  320","25.1","33.1","    1","    1",,,,,"    1"
"USW00014739","BOSTON, MA US","2021-07-10","6.71",,"0.05","0.0","71","74","64","   30","   30","14.1","16.1",,,,,,,
"USW00014739","BOSTON, MA US","2021-07-11","5.14",,"0.03","0.0","71","82","62","  230","  210","14.1","17.0","    1",,,,,,"    1"
"USW00014739","BOSTON, MA US","2021-07-12","8.05",,"1.21","0.0","69","71","65","   60","   60","18.1","21.9","    1","    1",,,,,
"USW00014739","BOSTON, MA US","2021-07-13","7.83",,"0.01","0.0","67","70","65","   70","   90","14.1","16.1","    1","    1",,,,,
"USW00014739","BOSTON, MA US","2021-07-14","4.70",,"0.00","0.0","69","78","66","   80","   90","10.1","12.1","    1","    1",,,,,"    1"
"USW00014739","BOSTON, MA US","2021-07-15","6.26",,"0.00","0.0","74","79","71","   70","   90","13.0","16.1","    1",,,,,,"    1"
